"","Sporangia.r1","Sporangia.r2","Sporangia.r3","Zoospore.r1","Zoospore.r2","Zoospore.r3"
"Batde5_90620",10646.7708086577,12117.2745501146,12074.7560596905,9559.27862920627,11070.0041217131,10859.3393981739
"Batde5_32093",1.14576800476562,0,0,0,0.885425323866588,0
"Batde5_90618",0,0,0,0,0,0
"Batde5_26416",2.74535968672698,0.924276370068317,6.10033912609904,0.162663410464742,0.485893039039264,1.53945604009706
"Batde5_26417",0.108652218516102,0,0,0.948810135058338,1.31890028601995,0.540644105806128
"Batde5_90615",0,0,0,0,0,0
"Batde5_90622",0,0,0,0,0,0
"Batde5_26419",0.606468824776217,0,0.694628243942626,0,0,0
"Batde5_90614",61.3447714195692,64.6425072212368,80.1923193898831,38.6462072536159,31.0367176509276,50.8303592599583
"Batde5_90624",0.166839920600203,0,0.595622683590395,0.947028347029737,0.965382741215596,0.842019931132377
"Batde5_90625",0,0,0,0,0,0
"Batde5_26423",0,0,0,0,0,0
"Batde5_90626",0,0,0,0,0,0
"Batde5_30403",0,0,0,1.21357619988515,0.356715446273938,2.05767773957101
"Batde5_90611",0.604704996098125,0.842574043101444,1.71644581995709,0,0,0
"Batde5_26425",0,0,0,0,0,0
"Batde5_26426",1.32526682636751,0.79786950205993,1.86584073170723,0.851265900849644,1.00163234115384,0
"Batde5_90629",0,0,0,0,0,1.04837572114088
"Batde5_90609",0,0,0,0,0,0
"Batde5_90608",1.71129616577056,0.511653361462495,1.51066454336437,0.772913092010075,0.340100853906742,2.12189802445433
"Batde5_90630",0.605079618860675,0,0,0.19565221889629,0.142892762668623,0.54354215096436
"Batde5_35614",9.55372988111723,13.0577763028904,4.60619667604614,31.5132123410462,26.1001649036316,24.8127264582577
"Batde5_90352",295.997837582853,416.277689196751,291.573997000724,26.8969469473868,18.0602776951066,159.215465137882
"Batde5_17297",160.552723534876,163.665077364075,122.699097663837,114.629928272871,96.8113381131537,106.618627223093
"Batde5_13095",26.9155454849564,28.645169060485,37.1027277428509,7.81496581984867,3.95623550921529,13.6240143989799
"Batde5_20268",68.9342455704917,83.9976573834828,80.7061016730586,8.28640796512214,4.65794265261292,53.1186487058589
"Batde5_26434",25.68584608716,27.1684780047594,21.9662758347566,2.06308744255041,1.48411364966289,12.9545762710867
"Batde5_26435",1.36769265221748,1.60118039218329,1.68675032886713,0.293822128936644,0.164280951482987,1.48465787067374
"Batde5_90632",9.93717362163491,12.6924277297887,13.6730318428201,3.36255980508406,4.81628103417923,9.32717398503894
"Batde5_13059",572.741369906905,632.538205875363,508.783071128948,764.898493123254,850.397452563413,538.051743030662
"Batde5_90356",5.76390731615952,5.20239694405889,8.65111776860698,0.951134695084668,0.259474016563711,4.96562955338261
"Batde5_26439",9.97505427352095,13.2459445907534,6.47242922711262,2.0346940108886,2.31215133537634,5.7484518269116
"Batde5_35617",9.31433131986842,11.601023486811,6.65090742338422,2.4242382061957,1.63092094008248,7.55572745407176
"Batde5_90358",2.54972119404464,3.02585661565529,5.86977758167711,0.839114084304055,0.276798777093442,2.95570380202193
"Batde5_26442",12.5167696288103,12.0621929255687,7.03023372928344,3.55496833145609,1.67339760830047,6.53113755645745
"Batde5_90635",59.5610545210558,57.088515845433,16.7444264438729,7.52270969204442,5.03199325096613,16.9911198841473
"Batde5_33502",126.498802844772,126.316550250535,168.329792666601,26.6246939764072,14.1086112212981,93.0527401387989
"Batde5_26445",18.573893649806,23.3435568322251,26.370307183892,11.7830513261797,10.3486155972753,19.0022770429376
"Batde5_12887",46.7745288932024,49.7164317188721,31.1526634909152,4.40925862789996,2.3618711520952,15.8979384930646
"Batde5_26447",94.5187421978656,79.6827024182127,86.588353697301,174.345679155142,188.191110649884,156.819366097506
"Batde5_12883",34.3758573913131,49.541813435926,28.4543723828834,3.3370274210913,3.19719147881418,13.1525297785843
"Batde5_26449",20.3098993498244,14.2291330057761,9.93942950782828,5.38915112746287,3.81050701995925,4.02617591461184
"Batde5_35620",25.202923187949,25.9944777301417,24.8940672389394,27.2291892827297,25.2760356614773,26.2417915876194
