"","Sporangia.r1","Sporangia.r2","Zoospore.r1","Zoospore.r2"
"Batde5_90620",5627.33333333333,1749,5966.88888888889,6784.77777777778
"Batde5_32093",5.1673522342944,0,0,4.47848654088381
"Batde5_90618",0,0,0,0
"Batde5_26416",52.8331431787714,5.12189253966644,3.08995067339537,9.79908391717079
"Batde5_26417",1.97984783269265,0,17.122999702837,24.8574709987796
"Batde5_90615",0,0,0,0
"Batde5_90622",0,0,0,0
"Batde5_26419",4.52019972282272,0,0,0
"Batde5_90614",225.764851247455,69.5036555283086,146.943742174793,114.995162476825
"Batde5_90624",1.37111344075386,0,7.98103187292589,8.31491039644521
"Batde5_90625",0,0,0,0
"Batde5_26423",0,0,0,0
"Batde5_90626",0,0,0,0
"Batde5_30403",0,0,3.72283950054809,1.07135153231459
"Batde5_90611",5,2,0,0
"Batde5_26425",0,0,0,0
"Batde5_26426",26.5129993335482,4.55531907252402,16.4795231331054,20.6894134180238
"Batde5_90629",0,0,0,0
"Batde5_90609",0,0,0,0
"Batde5_90608",42.4131185576967,3.61854369299717,18.8341785818503,8.74952750304382
"Batde5_90630",6,0,2,1.50248478637023
"Batde5_35614",88.7955478769746,35.1201332549388,300.469150661906,254.765672149756
"Batde5_90352",2491,1013,240,163
"Batde5_17297",2399,712,1722,1540
"Batde5_13095",258,79,75,40
"Batde5_20268",1220,428,144,86
"Batde5_26434",1118,339,88,68
"Batde5_26435",95,32,20,12
"Batde5_90632",111,41,38,57
"Batde5_13059",870,279,1370,1462
"Batde5_90356",84,22,14,4
"Batde5_26439",130,50,27,32
"Batde5_35617",486,174,123,89
"Batde5_90358",97,33,31,11
"Batde5_26442",366,101,102,51
"Batde5_90635",282,80,38,26
"Batde5_33502",1831,524,376,211
"Batde5_26445",1430,512,875,828
"Batde5_12887",728,221,68,38
"Batde5_26447",725,177,1369,1540
"Batde5_12883",280,117,28,28
"Batde5_26449",218,44,58,43
"Batde5_35620",930,276,975,976
"Batde5_35621",1510,479,204,186
"Batde5_90367",1588,535,4353,4625
"Batde5_90637",348,87,178,165
"Batde5_30413",1493,375,165,103
"Batde5_90369",541,155,976,1012
"Batde5_26456",98,36,60,46
"Batde5_26457",30,7,28,18
"Batde5_4962",91,20,38,38
"Batde5_37224",422,123,1093,1364
"Batde5_12872",951,296,137,80
"Batde5_90372",245,86,21,14
"Batde5_37225",1604,504,252,149
"Batde5_90374",297,96,34,40
"Batde5_90604",1127,322,337,185
"Batde5_90641",147,34,512,595
"Batde5_26464",165,40,293,350
"Batde5_20287",1170,330,207,118
"Batde5_90377",25,13,3,1
"Batde5_90642",80,18,181,183
"Batde5_90643",15,8,1,7
"Batde5_90644",43,9,11,14
