"","Sporangia.r1","Sporangia.r2","Zoospore.r1","Zoospore.r2"
"HPOL_001566-RA",170,66,78,240
"HPOL_005474-RA",305,115,153,447
"HPOL_005471-RA",280,113,83,441
"HPOL_005472-RA",94,46,30,181
"HPOL_005473-RA",924,428,443,1463
"HPOL_004371-RA",903.080363636058,414,372,1338
"HPOL_004372-RA",744,229,280,638
"HPOL_000242-RA",247,149,128,487
"HPOL_000243-RA",4937,2338,2094,6691
"HPOL_000244-RA",414,164,174,575
"HPOL_003977-RA",32,22,80,119
"HPOL_000245-RA",478,135,135,390
"HPOL_000246-RA",149,56,25,106
"HPOL_000247-RA",1356.71073003815,568.895018523711,664.277410126508,2182.50045673957
"HPOL_000248-RA",46,14,8,50
"HPOL_000249-RA",334,159,165,490
"HPOL_000250-RA",516,256,412,1166
"HPOL_000251-RA",0,0,0,0
"HPOL_001178-RA",132,29,56,76
"HPOL_001179-RA",705,386,252,1026
"HPOL_001180-RA",731,326,257,951
"HPOL_003978-RA",263,139,127,503
"HPOL_005475-RA",71,24,7,90
"HPOL_005476-RA",579,372,483,1880
"HPOL_005477-RA",5700,2532,3566,10707
"HPOL_005478-RA",2843,1257,1374,4137.55535372854
"HPOL_002624-RA",198,69,41,152
"HPOL_002625-RA",728,515,335,1706
"HPOL_002626-RA",99,45,35,203
"HPOL_002627-RA",3801,1639,2429,6659
"HPOL_002628-RA",79,60,55,190
"HPOL_004455-RA",1078,467,410,1222
"HPOL_003979-RA",2689,1317,1457,5124
"HPOL_004456-RA",4137,1996,1945,8370
"HPOL_001167-RA",953,401,445,1291
"HPOL_001168-RA",437,199,269,629
"HPOL_001169-RA",632,324,264,961
"HPOL_001170-RA",1396,676,566,2235
"HPOL_001171-RA",3679,1583,2239,7362
"HPOL_005479-RA",143,73,77,303
"HPOL_005480-RA",75,35,75,113
"HPOL_005484-RA",191,67,35,280
"HPOL_005485-RA",92.5778343618058,32,72,125.401415281949
"HPOL_003130-RA",142,60,75,272
"HPOL_005486-RA",121,72,112,343
"HPOL_005487-RA",130,55,51,211
"HPOL_004806-RA",271,63,68,219
"HPOL_004807-RA",53,12,7,27
"HPOL_004808-RA",34,7,6,24
"HPOL_001401-RA",14,8,0,34
"HPOL_001402-RA",144,83,68,297
"HPOL_001403-RA",252,111,138,378
"HPOL_001404-RA",542,270,161,564
"HPOL_004493-RA",262,135,157,552
"HPOL_003131-RA",434,203,218,859
"HPOL_004494-RA",375,174,139,642
"HPOL_002629-RA",474,193,275,762
"HPOL_002630-RA",255,105,124,426
"HPOL_002631-RA",30,9,27,47
"HPOL_002632-RA",1865,1012,1388,3948
"HPOL_002633-RA",666,323,573,1512
"HPOL_002634-RA",1535,730,798,2176
"HPOL_004417-RA",2045,810,799,2253
"HPOL_004418-RA",1040,485,724,1467
"HPOL_004419-RA",150,92,774,2235
"HPOL_003132-RA",196,90,143,393
"HPOL_004420-RA",110,32,59,120
"HPOL_005488-RA",728.525112052113,370.855701056309,314.30717998257,1035.40767053116
"HPOL_005489-RA",1969,801,1241,3518
"HPOL_005490-RA",69,12,11,44
"HPOL_004427-RA",899,356,336,775
"HPOL_004428-RA",335,102,57,255
"HPOL_004429-RA",147,81,63,188
"HPOL_004430-RA",878,436,518,1153
"HPOL_005491-RA",444,193,163,646
"HPOL_005492-RA",1741,851,1627,5231
"HPOL_003133-RA",5512,3193,2912,6055
"HPOL_005497-RA",212,112,64,308
"HPOL_005498-RA",582,264,208,990
"HPOL_005499-RA",145,64,160,523
"HPOL_004214-RA",4399,2147,1611,6100
"HPOL_004215-RA",770,459,292,532
"HPOL_004094-RA",432,136,146,812
"HPOL_004095-RA",317,155,198,498
"HPOL_004096-RA",240,140,172,383
"HPOL_004097-RA",219,91,106,281
"HPOL_004441-RA",459.58277088314,220,221,768.737640952755
"HPOL_003905-RA",440,265,177,629
"HPOL_004442-RA",380,249,241,657
"HPOL_004499-RA",1263,601,475,2002
"HPOL_004599-RA",303,74,30,166
"HPOL_004600-RA",1139,557,687,2057
"HPOL_004601-RA",3574,1696,2502,8026
"HPOL_002635-RA",2793,790,762,2166
"HPOL_002636-RA",35,7,11,20
"HPOL_001804-RA",197,84,95,234
"HPOL_001805-RA",113,74,157,454
"HPOL_001806-RA",155,68,112,435
"HPOL_003906-RA",207,105,78,275
"HPOL_001161-RA",2326,1245,963,2872
"HPOL_001162-RA",65,21,32,80
"HPOL_001163-RA",337,172,213,582
"HPOL_001164-RA",214,98,126,249
"HPOL_001165-RA",1603,824,615,2510
"HPOL_001166-RA",1037,432,601,1821
"HPOL_005495-RA",144,46,33,238
"HPOL_005496-RA",1731,828,954,3219
"HPOL_005500-RA",188,85,96,401
"HPOL_005501-RA",381,163,156,548
"HPOL_003907-RA",73,23,24,113
"HPOL_001745-RA",560,260,217,728
"HPOL_001350-RA",1791,985,1077,3851
"HPOL_001351-RA",218.992325269422,61.5905659263161,80.7567319966224,339.553089078222
"HPOL_001352-RA",257,131,107,382
"HPOL_001353-RA",76777,32948,37518,171987
"HPOL_005504-RA",1428,780,641,2278
"HPOL_005507-RA",218,54,101,196
"HPOL_001172-RA",171,67,94,302
"HPOL_001173-RA",1375,563,403,1609
"HPOL_001174-RA",148,56,88,265
"HPOL_004281-RA",66,26,25,62
"HPOL_001175-RA",389,180,192,525
