"","Sporangia.r1","Sporangia.r2","Zoospore.r1","Zoospore.r2"
"HPOL_001176-RA",1033,406,287,1233
"HPOL_001177-RA",214,104,115,321
"HPOL_004703-RA",941,426,446,1556
"HPOL_004704-RA",3915,2407,2110,9505
"HPOL_004705-RA",1805,752,845,2805
"HPOL_001373-RA",31.356808025765,9,10,21
"HPOL_001374-RA",446,148,141,415
"HPOL_001375-RA",708,287,534,682
"HPOL_001376-RA",1216.91754023613,594,616,1599.96670915898
"HPOL_004282-RA",253,119,102,558
"HPOL_001377-RA",72.0824597638715,25,8,36.0332908410215
"HPOL_001378-RA",13,3,0,13
"HPOL_001379-RA",1195,492,206,671
"HPOL_002637-RA",2394,968,1642,4417
"HPOL_002638-RA",2398,1278,1478,3136
"HPOL_002639-RA",201,114,107,317
"HPOL_002640-RA",1550,739,427,1848
"HPOL_002641-RA",331,156,193,644
"HPOL_005511-RA",285,94,81,433
"HPOL_005512-RA",3391,1303,1872,4501
"HPOL_004283-RA",393,174,189,578
"HPOL_005508-RA",2004,1010,683,2866
"HPOL_005509-RA",126,38,38,176
"HPOL_005510-RA",554,284,367,1048
"HPOL_005533-RA",169,64,12,198
"HPOL_005534-RA",227,50,71,179
"HPOL_001629-RA",782,370,335,1076
"HPOL_001630-RA",336,161,249,923
"HPOL_001631-RA",828,211,204,460
"HPOL_001632-RA",505.76455197782,208.280426273915,151.910505634237,599.009401286161
"HPOL_001633-RA",216,69,107,257
"HPOL_004284-RA",70,33,14,123
"HPOL_001634-RA",494,272,310,1052
"HPOL_001635-RA",93,32,34,85
"HPOL_001636-RA",48,1,0,14
"HPOL_005520-RA",6391.91669100836,3118.85208592036,2915.20360654468,9275.07824431573
"HPOL_005515-RA",630,264,556,1558
"HPOL_003167-RA",352,162,107,530
"HPOL_003168-RA",533,292,230,863
"HPOL_005513-RA",621,289,347,1196
"HPOL_005514-RA",386,139,168,468
"HPOL_005526-RA",548,238,319,957
"HPOL_004285-RA",129,50,82,242
"HPOL_005527-RA",364,149,139,512
"HPOL_001244-RA",678,304,363,1316
"HPOL_001245-RA",1230,636,621,1720
"HPOL_001246-RA",301,113,104,311
"HPOL_001247-RA",1794,558,662,1533
"HPOL_001248-RA",962,528,408,1403
"HPOL_002642-RA",143,60,44,189
"HPOL_002643-RA",460,215,219,610
"HPOL_002644-RA",3072,1396,967,4358
"HPOL_005516-RA",1005,450,476,1534
"HPOL_004286-RA",128,67,80,265
"HPOL_005517-RA",131,53,34,122
"HPOL_001598-RA",801,365,268,1212
"HPOL_001599-RA",3484,1702,1375,5354
"HPOL_000044-RA",1740.94827535679,763.198723607181,966.049729095918,3407.58090192269
"HPOL_000045-RA",475,241,655,2080
"HPOL_000046-RA",137,66,90,148
"HPOL_000047-RA",1251.05172464321,671.801276392819,525.893164053617,1916.34923468714
"HPOL_000048-RA",194,63,58.0571068504653,185.069863390178
"HPOL_000049-RA",73,44,56,121
"HPOL_000050-RA",383,110,107,298
"HPOL_005213-RA",926,463,472,1320
"HPOL_000051-RA",101,29,28,151
"HPOL_000052-RA",326,103,69,256
"HPOL_000053-RA",250,63,36,184
"HPOL_001063-RA",2038.01030515168,641.934808446413,528.751147989619,1374.54049444511
"HPOL_001064-RA",636,268,157,626
"HPOL_001065-RA",482,232,165,716
"HPOL_001066-RA",445.509530094414,241.900574284985,143.37210024726,627.273797462049
"HPOL_001067-RA",1389.98969484832,419.065191553587,450.248852010381,992.459505554889
"HPOL_001068-RA",475,115,65,265
"HPOL_001069-RA",435,204,220,566
"HPOL_005214-RA",1885,939,729,2499
"HPOL_001070-RA",735,341,268,1289
"HPOL_001071-RA",281.490469905586,169.099425715015,162.62789975274,437.726202537951
"HPOL_004644-RA",241,121,145,434
"HPOL_004645-RA",87,52,78,231
"HPOL_004646-RA",46,49,88,256
"HPOL_001241-RA",120,86,57,188
"HPOL_001242-RA",369,185,169,488
"HPOL_001243-RA",703,416,393,1163
"HPOL_004468-RA",2279,1094,1253,4567
"HPOL_004469-RA",894,332,401,1172
"HPOL_004123-RA",21,15,0,31
"HPOL_004470-RA",843,350,344,1354
"HPOL_004471-RA",192,100,90,350
"HPOL_001329-RA",259,98,186,416
"HPOL_001330-RA",212.967420416065,86.5980479650653,80,290.074433183548
"HPOL_001331-RA",569.747772559382,209.819220946443,228.100485097113,676.662956376331
"HPOL_001332-RA",284,117,88,346
"HPOL_001333-RA",375,173,141,534
"HPOL_004472-RA",58,15,30,24
"HPOL_004473-RA",190,95,84,254
"HPOL_004474-RA",2440,1147,910,3237
"HPOL_004124-RA",478,187,176,854
"HPOL_004475-RA",263,126,203,536
"HPOL_004723-RA",340,166,85,376
"HPOL_004724-RA",133,37,86,388
"HPOL_002656-RA",127,74,96,310
"HPOL_002657-RA",296,135,235,587
"HPOL_002658-RA",3477,1729,932,4255
"HPOL_002659-RA",1985,1002,878,3593
"HPOL_005521-RA",168,95,195,533
"HPOL_005522-RA",107,20,21,65
"HPOL_005523-RA",429,142,12,18
"HPOL_005215-RA",1142,608,519,2138
"HPOL_003006-RA",2438,1114,1306,3740
"HPOL_003007-RA",2191,1244,1519,3602
"HPOL_003008-RA",403,180,93,513
"HPOL_003009-RA",1326,571,673,2180
"HPOL_003010-RA",1692,734,629,2584
"HPOL_005524-RA",764,274,316,805
"HPOL_001477-RA",434,275,118,733
"HPOL_001478-RA",553.616751733832,272.329799462798,245.065878793266,801.206554777069
"HPOL_001479-RA",155,51,28,83
"HPOL_001480-RA",802,407,325,980
"HPOL_005216-RA",2163,1385,1839,6357
"HPOL_004937-RA",5287,2551,2821,9641
"HPOL_004938-RA",974,443,471,1534
"HPOL_005525-RA",69,25,23.5,121
"HPOL_005528-RA",119,46,54,187
"HPOL_005529-RA",467,169,136,429
"HPOL_005530-RA",955,426,313,1257
"HPOL_005531-RA",298,157,179,446
"HPOL_005532-RA",668,303,349,820
"HPOL_005538-RA",1882,1033,590,2429
"HPOL_005539-RA",1743,865,413,2150
"HPOL_002444-RA",54,10,19,100
"HPOL_005540-RA",659.021919264684,328.001852349272,171.368201321809,934.64595221268
"HPOL_002660-RA",623,236,252,1171
"HPOL_002661-RA",523,323,199,945
"HPOL_002662-RA",1397.98098823716,716.059396741202,583.366132874614,2212.76381632683
"HPOL_002663-RA",3316.94599908089,1570.53065932496,1442.09291855298,5857.68215114342
"HPOL_004843-RA",162,40,88,209
"HPOL_004844-RA",163,43,64,123
"HPOL_004845-RA",9,4,5,9
"HPOL_004540-RA",71,30,53,104
"HPOL_004541-RA",125,40,36,77
"HPOL_002445-RA",453,137,185,428
"HPOL_005546-RA",1229,552,451,1751
"HPOL_005535-RA",309,123,76,462
"HPOL_005536-RA",672,289,120,709
"HPOL_005537-RA",182,52,78,118
"HPOL_005541-RA",3624,1704,1584,5919
"HPOL_005542-RA",546,234,216,739
"HPOL_000322-RA",324,166,150,588
"HPOL_000323-RA",82,44,19,188
"HPOL_000324-RA",232,71,43,153
"HPOL_000325-RA",2476,1207,1076,4031
"HPOL_004266-RA",2159,1071,989,3549
"HPOL_000326-RA",720.489659406756,344.895188411796,356.630123262726,1204.2694531605
"HPOL_000327-RA",30,12,12,43
"HPOL_000328-RA",494,219,164,782
"HPOL_001056-RA",210,112,151,399
"HPOL_001057-RA",306,144,183,515
"HPOL_001058-RA",499,226,173,796
"HPOL_001059-RA",321,166,131,387
"HPOL_001060-RA",3170,1345,2009,5646
"HPOL_001061-RA",1080,649,450,1733
"HPOL_001062-RA",559,281,270,621
"HPOL_004267-RA",1319,714,600,2386
"HPOL_005543-RA",80,30,51,134
"HPOL_004695-RA",299,118,164,538
"HPOL_004696-RA",1209,481,806,2718
"HPOL_004697-RA",2140,1132,1308,4044
"HPOL_002671-RA",860,386,316,1393.8683587536
"HPOL_002672-RA",0,0,0,5.13164124639777
"HPOL_002673-RA",673,391,395,1137
"HPOL_002674-RA",281,167,110,547
"HPOL_005544-RA",416,173,194,631
"HPOL_003112-RA",542,145,104,284
"HPOL_004268-RA",988,534,832,1921
"HPOL_003113-RA",349,162,93,473
"HPOL_003114-RA",2499,1181,1177,4205
"HPOL_001560-RA",233,43,15,103
"HPOL_001561-RA",206,82,65,293
"HPOL_001562-RA",31.5238555981489,33.0352892165889,0.00977206848539458,63.5517956716815
"HPOL_001563-RA",2163.64238353998,1106.07039718777,1217.46766152233,3656.19313519502
"HPOL_004877-RA",52,14,0,26
"HPOL_004878-RA",203,98,75,396
"HPOL_004879-RA",21,3,10,16
"HPOL_003108-RA",23,8,7,32
"HPOL_005197-RA",528,175,166,501
"HPOL_003109-RA",379,194,207,776
"HPOL_003110-RA",740,266,333,933
"HPOL_003111-RA",2237,1038,1143,3905
"HPOL_001760-RA",451,132,147,582
"HPOL_001761-RA",2785,1216,1138,3567
"HPOL_001762-RA",36,10,6,16
"HPOL_001763-RA",90,33,16,73
"HPOL_001764-RA",427,194,103,544
"HPOL_001765-RA",162,66,145,271
"HPOL_001766-RA",4459,2213,2085,6850
"HPOL_005219-RA",339,136,70,408
"HPOL_005545-RA",356,199,202,570
"HPOL_000520-RA",48,15,10,42
"HPOL_000521-RA",3218,1329,983,4356
"HPOL_000522-RA",2386,1040,1179,3731
"HPOL_000523-RA",78,56,41,142
"HPOL_000524-RA",28.8100908117482,0,19.8410645706176,24.0487751416395
"HPOL_000525-RA",260,135,114,302
"HPOL_000526-RA",45,25,14,91
"HPOL_000527-RA",437,167,242,810
"HPOL_000528-RA",121.189909188252,72,74.1589354293824,177.95122485836
"HPOL_005220-RA",218,98,75,309
"HPOL_000529-RA",724,390,390,1309
"HPOL_005547-RA",246,125,96,319
"HPOL_002668-RA",4450,2185,2808,7798
"HPOL_002669-RA",349,105,120,373
"HPOL_002670-RA",1086,463,443,1806
"HPOL_000642-RA",1668,606,1079,2888
"HPOL_000643-RA",1145,588,472,1828
"HPOL_000644-RA",1070,570,719,2392.47270684826
"HPOL_000645-RA",486,257,388,1108.52729315174
"HPOL_000646-RA",239,95,119,406
"HPOL_005221-RA",68,41,45,204
"HPOL_000647-RA",1095,534,438,1819
"HPOL_000648-RA",140,76,53,227
"HPOL_000649-RA",200,87,171,275
"HPOL_001151-RA",961,575,234,1057
"HPOL_001152-RA",678,313,364,1320
"HPOL_001153-RA",662,285,313,941
"HPOL_001154-RA",901,403.536931068231,348,1134
"HPOL_001155-RA",2275,1097,1172,3895
"HPOL_001156-RA",178,71,112,278
"HPOL_001157-RA",3419,1955,1389,4908
"HPOL_005222-RA",36.5898137622091,10,2,34
"HPOL_001158-RA",742,349,195,832
"HPOL_001159-RA",645.178230515449,399.048181078323,1001.74630341876,3043.00100163777
"HPOL_001160-RA",426,157,163,509
"HPOL_001118-RA",5906,2811,3362,11378
"HPOL_001119-RA",248,119,99,421
"HPOL_001120-RA",27.0002851408735,12.5046158636632,3.4158338153509,62.454735491346
"HPOL_001121-RA",709,277,312,1246
"HPOL_001122-RA",21148.9997148591,9462.49538413634,8727.58416618465,25486.5452645087
"HPOL_005548-RA",7073,3732,2304,9563
"HPOL_003530-RA",479,192,286,730
"HPOL_004486-RA",316,65,94,269
"HPOL_003531-RA",458,209,316,1227
"HPOL_003532-RA",168,74,106,238
"HPOL_005549-RA",181,61,79,79
"HPOL_005550-RA",2914,1382,1320,4021
"HPOL_005551-RA",138,77,134,301
"HPOL_004739-RA",3699,1869,1592,5431
"HPOL_004740-RA",2326,1033,635,2360
"HPOL_005552-RA",484,278,231,849
"HPOL_005553-RA",387,148,125,573
"HPOL_004631-RA",1161,589,503,1572
"HPOL_004487-RA",210,103,86,291
"HPOL_004632-RA",277,127,109,347
"HPOL_004633-RA",387,86,77,183
"HPOL_005554-RA",689,317,351,1499
"HPOL_002679-RA",5236,2403,2410,7475
"HPOL_000530-RA",73,47,26,137
"HPOL_000531-RA",116,52,28,149
"HPOL_000532-RA",128,88,99,342
"HPOL_000533-RA",74,25,34,31
"HPOL_000534-RA",297,161,144,448
"HPOL_000535-RA",1243,560,488,1623
"HPOL_004488-RA",258,111,124,325
"HPOL_004345-RA",400,158,109,368
"HPOL_004346-RA",140,41,47,147
"HPOL_004347-RA",2684.42788588243,1354.45371343529,2156.23307532324,6809.03549602771
"HPOL_005555-RA",324,141,131,487
"HPOL_005556-RA",43,24,11,72
"HPOL_005557-RA",15.3351907883171,7.54031488802532,7,11.4195766961448
"HPOL_005578-RA",3915,1747,1449,5892
"HPOL_003952-RA",1073,505,431,1478
"HPOL_003953-RA",1600,399,383,1062
"HPOL_003954-RA",520,176,209,657
"HPOL_004489-RA",99,13,39,79
"HPOL_003955-RA",8920,4421,4420,15820
"HPOL_005558-RA",369,179,192,565
"HPOL_005559-RA",279.169695526958,104.756101061198,152.096569719884,483.348431565449
"HPOL_005560-RA",330,119,53,276
"HPOL_005561-RA",269,122,143,576
"HPOL_005562-RA",1145.98496195864,469,473,1192
"HPOL_005563-RA",352,94,109,233
"HPOL_005564-RA",2088,890,573,2193
"HPOL_005565-RA",200,87,58,289
"HPOL_002680-RA",859,487,323,1307
"HPOL_005223-RA",3147,1476,1535,5014
"HPOL_002681-RA",215,130,118,372
"HPOL_002682-RA",435,112,121,369
"HPOL_002683-RA",26212,11342,8948,36752
"HPOL_002684-RA",6435,3115,2296,11035
"HPOL_002685-RA",337,168,242,606
"HPOL_003245-RA",302,131,110,519
"HPOL_003246-RA",2790,1343,1512,5667.45343439915
"HPOL_005566-RA",219,107,172,583
"HPOL_004683-RA",468,240,241,689
"HPOL_004684-RA",95,22,22,57
"HPOL_005224-RA",1280,535,402,1457
"HPOL_005571-RA",1482,725,696,2866
"HPOL_005569-RA",1800,944,1047,3378
"HPOL_005570-RA",232,133,194,420
"HPOL_001084-RA",954,492,434,1522
"HPOL_001085-RA",531,291,233,864
"HPOL_001086-RA",440,224,190,615
"HPOL_001087-RA",510,247,284,895
"HPOL_001088-RA",883,368,346,1579
"HPOL_001089-RA",444,181,144,422
"HPOL_005572-RA",5,5,18,6
"HPOL_004065-RA",410,214,183,703
"HPOL_005573-RA",188,96,175,572
"HPOL_005574-RA",1747,796,1569,5214
"HPOL_001714-RA",60,17,15,72
"HPOL_001715-RA",113,40,28,64
"HPOL_001716-RA",444,141,86,297
"HPOL_004520-RA",256,135,155,449
"HPOL_004521-RA",897,367,340,1092
"HPOL_004763-RA",3103,1418,2117,4136
"HPOL_004764-RA",194,88,110,533
"HPOL_004765-RA",1642,752,675,1946
"HPOL_004066-RA",109,58,59,184
"HPOL_002694-RA",682,290,364,1268
"HPOL_002695-RA",437,220,207,837
"HPOL_002696-RA",315,184,155,509
"HPOL_004578-RA",5591,2674,3795,9751
"HPOL_004579-RA",130,77,71,191
"HPOL_004580-RA",330,156,169,672
"HPOL_005106-RA",5145,2567,2043,7457
"HPOL_005107-RA",88,42,64,174
"HPOL_005108-RA",154,57,46,137
"HPOL_005109-RA",193,91,38,197
"HPOL_004067-RA",343,177,153,796
"HPOL_005581-RA",874,232,214,721
"HPOL_005582-RA",224,57,92,98
"HPOL_005583-RA",348,163,181,577
"HPOL_003608-RA",854.366193108354,313.237227621712,382.584614570599,1056.59092588286
"HPOL_003609-RA",26644,16702,21050,90045
"HPOL_005584-RA",47,24,10,60
"HPOL_005585-RA",1546,787,583,2189
"HPOL_002302-RA",62.4996611545266,28.5597507541062,65.0844820935818,111.98001227389
"HPOL_002303-RA",872,364,381,1103
"HPOL_002304-RA",54.7398041230919,36,41,107
"HPOL_004118-RA",718.990105562993,306.364717603627,366.380617067683,1235.82132803908
"HPOL_002305-RA",43,17,16,83
"HPOL_002306-RA",449,221,223,861
"HPOL_000054-RA",1636,830,866,3220
"HPOL_000055-RA",1604,765,656,2712
"HPOL_000056-RA",394,179,114,725
"HPOL_000057-RA",110,46,27,185
"HPOL_000058-RA",3750,1789,1466,4669
"HPOL_000059-RA",1887,862,857,2812
"HPOL_000060-RA",1438,764,885,2334
"HPOL_000061-RA",7,7,12,40
"HPOL_004119-RA",2488.00989443701,1223.63528239637,1104.61938293232,4123.17867196092
"HPOL_004725-RA",114,58.3945959124471,103,232
"HPOL_004726-RA",471.33089214751,240.155695924431,278,1097
"HPOL_004535-RA",1386,553,380,1202
"HPOL_004536-RA",1601,726,735,2206
"HPOL_002692-RA",225,117,89,485
"HPOL_002693-RA",1876,463,490,1209
"HPOL_003050-RA",345,156,134,514
"HPOL_003051-RA",127,55,42,229
"HPOL_003052-RA",1161,482,598,2060
"HPOL_003053-RA",215,99,87,337
"HPOL_002017-RA",1658,856,897,3032
"HPOL_005586-RA",2048,972,872,3340
"HPOL_005587-RA",319,140,115,405
"HPOL_005455-RA",40,13,13,23
"HPOL_005456-RA",1194,498,638,1596
"HPOL_001473-RA",2284,1078,1337,3995
"HPOL_001474-RA",307,81,163,234
"HPOL_001475-RA",493,277,207,880
"HPOL_001476-RA",95,25,30,181
"HPOL_002345-RA",211,107,107,375
"HPOL_002346-RA",1168,488,599,2544
"HPOL_002018-RA",15,1,0,10
"HPOL_002347-RA",206,30,46,191
"HPOL_002348-RA",283,151,109,519
"HPOL_005588-RA",826,318,101,555
"HPOL_005589-RA",144,55,34,88
"HPOL_004718-RA",79,33,53,111
"HPOL_004719-RA",16,2,3,62
"HPOL_004720-RA",3321,1572,1297,4795
"HPOL_005590-RA",611,290,317,972
"HPOL_005518-RA",107.58294159634,57.6450678151493,31.7687060232817,148.902014163178
"HPOL_005519-RA",254,111,157,419
"HPOL_002019-RA",175,60,130,185
"HPOL_005591-RA",367,83,112,341
"HPOL_005592-RA",1222.41804850775,548.758828602606,768.785717749005,2286.49366338656
"HPOL_001384-RA",988,476,448,1196
"HPOL_001385-RA",418,194,194,656
"HPOL_001386-RA",1260,591,433,2036
"HPOL_001387-RA",457,139,167,533
"HPOL_001388-RA",425,238,228,706
"HPOL_002697-RA",947,433,270,1299
"HPOL_002698-RA",1032,519,678,2246
"HPOL_002699-RA",5578,2962,3593,12641
"HPOL_002020-RA",419,140,211,510
"HPOL_002700-RA",508,197,174,777.017904888014
"HPOL_003767-RA",2031,908,767,2728
"HPOL_003768-RA",1119,514,363,1588
"HPOL_003769-RA",310,164,367,834
"HPOL_005596-RA",49,16,16,43
"HPOL_005593-RA",367,92,75,254
"HPOL_005594-RA",151,50,85,207
"HPOL_005595-RA",1451,678,598,1964
"HPOL_004351-RA",269,114,86,346
"HPOL_004352-RA",195,99,169,411
"HPOL_002021-RA",2012,956,752,2769
"HPOL_004353-RA",155.71107861504,73,49,212.968230735747
"HPOL_004354-RA",127,36,30,152
"HPOL_001139-RA",346,169,140,588
"HPOL_001140-RA",745,395,560,1149
"HPOL_001141-RA",503,229,648,1946
"HPOL_001142-RA",365.173306720098,143.288382919045,169.384560529445,470.486148200347
"HPOL_001143-RA",552.826693279902,289.711617080955,240.615439470555,641.513851799653
"HPOL_001144-RA",1377,711,1170,3222
"HPOL_000955-RA",1972.73213864916,772.007201155887,146.603241704473,362.834872748989
"HPOL_000956-RA",4467,1922,1724,6376
"HPOL_005225-RA",1035,515,447,1863
"HPOL_000957-RA",4612.26786135084,2025.99279884411,1110.39675829553,4027.16512725101
"HPOL_000958-RA",1103,461,86,172
"HPOL_000959-RA",476,180,211,755
"HPOL_005597-RA",114,72,30,156
"HPOL_005598-RA",937,376,520,1202
"HPOL_005599-RA",286,98,101,370
"HPOL_004619-RA",1616.4815614962,811.814531519887,1232.02167806546,4771.55922007867
"HPOL_004620-RA",1193,641,818,2761
"HPOL_004621-RA",308,181,155,510
"HPOL_001879-RA",2354,978,1636,4797
"HPOL_005226-RA",693,367,274,1357
"HPOL_001880-RA",1001,571,510,1632
"HPOL_001881-RA",647,159,139,447
"HPOL_002710-RA",169,60,54,150
"HPOL_002711-RA",822,431,679,1864
"HPOL_002712-RA",1024,431,282,1350
"HPOL_002713-RA",867,401,475,1925
"HPOL_000343-RA",1232,577,455,1809
"HPOL_000344-RA",340,125,164,430
"HPOL_000345-RA",373,148,205,704
"HPOL_000346-RA",5110,2396,2010,7413
"HPOL_002441-RA",913,370,343,1479.15859786523
"HPOL_000347-RA",775,277,300,1211
"HPOL_000348-RA",964,269,760,1754
"HPOL_000349-RA",2491,1047,930,2598
"HPOL_000350-RA",319,153,146,500
"HPOL_005600-RA",951,377,278,1155
"HPOL_005606-RA",350.004848708275,158.851679814497,75.479862850923,451.78080829542
"HPOL_005607-RA",351,128,168,508
"HPOL_005608-RA",2218,1006,736,2961
"HPOL_005601-RA",2522,1044,941,3584
"HPOL_005602-RA",377,201,100,565
"HPOL_002442-RA",957,461,249,1260
"HPOL_005603-RA",75,15,8,63
"HPOL_005604-RA",304,110,225,550
"HPOL_001307-RA",8478,3767,3515,12213
"HPOL_001308-RA",370,195,106,586
"HPOL_005605-RA",2629.93831520365,1208.78071253776,991,4201
"HPOL_005611-RA",522,191,248,646
"HPOL_005612-RA",67,25,54,125
"HPOL_005609-RA",138,54,80,291
"HPOL_005610-RA",1417,605,1003,2780
"HPOL_005613-RA",176,70,84,271
"HPOL_002443-RA",155,39,95,139
"HPOL_002718-RA",3160,1834,1468,5414
"HPOL_002719-RA",1801,834,878,2706
"HPOL_002720-RA",959,404,443,1471
"HPOL_002721-RA",604,312,358,1101
"HPOL_002722-RA",204,94,174,325
"HPOL_000617-RA",241,95,272,637
"HPOL_000618-RA",693,304,285,800
"HPOL_000619-RA",699,332,262,986
"HPOL_000620-RA",2347,1169,1103,4732
"HPOL_003207-RA",1005,495,415,1568
"HPOL_005227-RA",911,501,440,1591
"HPOL_003208-RA",35,15,37,76
"HPOL_003209-RA",1562,869,1036,3868
"HPOL_003210-RA",957,499,375,1581
"HPOL_003818-RA",623,315,264,781
"HPOL_003819-RA",389,159,267,1128
"HPOL_003820-RA",493,218,292,1181
"HPOL_003821-RA",2303,888,994,2222
"HPOL_000597-RA",8470,4028,3717,14031
"HPOL_000598-RA",93570.5223547156,47384,40707,181342
"HPOL_005137-RA",59,21,0,39
"HPOL_005228-RA",257,104,120,322
"HPOL_005138-RA",580,269,258,1148
"HPOL_004755-RA",1306,613,569,1842
"HPOL_004756-RA",375,185,110,693
"HPOL_003950-RA",615,311,363,1367
"HPOL_003951-RA",4858,2188,2127,6767
"HPOL_000922-RA",4495,2145,2439,5869
"HPOL_000923-RA",395,108,59,204
"HPOL_000924-RA",2670,1233,1064,4511
"HPOL_004111-RA",429,185,224,696
"HPOL_003444-RA",319,158,204,511
"HPOL_005233-RA",312,196.605404087553,167,590
"HPOL_003445-RA",643,276,318,916
"HPOL_003446-RA",396,167,116,597
