"","Sporangia.r1","Sporangia.r2","Zoospore.r1","Zoospore.r2"
"HPOL_001566-RA",58.313844322936,48.9901938359737,56.0359759584903,51.9306493637175
"HPOL_005474-RA",12.9277304843551,10.6504138585515,13.3694756447224,11.1337845770723
"HPOL_005471-RA",5.24284068225655,4.60957619596644,3.16148930843824,4.77805600230309
"HPOL_005472-RA",19.6051983989972,20.7091280799328,13.4120336538701,24.0341373304446
"HPOL_005473-RA",39.4117513377511,39.5074439186099,38.3047284349476,36.3457603568393
"HPOL_004371-RA",19.3418423594772,19.4934223788328,16.4833252164832,16.8200536188978
"HPOL_004372-RA",423.844186308257,282.432000401016,351.715799780286,241.975279182266
"HPOL_000242-RA",23.7839364508407,31.3467245821549,25.606942856916,28.0218825492192
"HPOL_000243-RA",303.475517249833,308.500039769367,263.378372731715,239.680103552239
"HPOL_000244-RA",36.4990692167909,31.2950269952403,31.6980181941309,30.4273203684026
"HPOL_003977-RA",7.52483098681097,10.9569141486955,38.3958804340231,17.022975566668
"HPOL_000245-RA",8.60882292188971,5.34564621975498,5.01254751584053,4.12298058555204
"HPOL_000246-RA",54.3161364329855,44.177133340572,19.1766754239112,24.4880331367707
"HPOL_000247-RA",58.547095073353,53.9000909481005,58.9360618250127,55.1378341832217
"HPOL_000248-RA",23.2471390983901,15.3223667139899,8.79107456407765,16.5943558721132
"HPOL_000249-RA",49.3840900307604,51.7801197486085,51.0532526058612,43.6883873446128
"HPOL_000250-RA",57.9367324784761,60.9463160234001,94.1911255628601,77.6724243154006
"HPOL_000251-RA",0,0,0,0
"HPOL_001178-RA",5.70286397635268,2.76352186863837,5.00108700339343,1.92791023170275
"HPOL_001179-RA",53.986932136938,65.1587278279544,40.568493114879,47.3618550330312
"HPOL_001180-RA",23.3068890920116,22.8513425318961,17.1293305649106,17.8795023310389
"HPOL_003978-RA",57.6445851400808,65.7097228125418,56.8257231431488,67.1677857379765
"HPOL_005475-RA",4.45000017925703,3.34507733005757,0.915053982906151,3.36770539692834
"HPOL_005476-RA",24.6516213805956,34.0753941666148,41.1727998245466,45.4557499496071
"HPOL_005477-RA",533.368081239327,494.696845686286,659.940618093808,568.205152128696
"HPOL_005478-RA",194.299217789643,184.399628545789,188.672405970909,164.594103628139
"HPOL_002624-RA",14.0197471882077,10.7939893974181,6.05815994848322,6.50871739540443
"HPOL_002625-RA",50.6304528209556,78.6113388933148,48.0657602100894,70.1310464596189
"HPOL_002626-RA",10.8314014940738,10.6161115880787,7.79564259625946,13.1268665052858
"HPOL_002627-RA",378.156123103961,351.455448403969,494.485172642145,405.690651784375
"HPOL_002628-RA",7.43420730197541,12.3486965287777,10.5545813383522,10.6209773385881
"HPOL_004455-RA",56.0246746968143,52.772527748444,43.4704227816705,37.2247200204829
"HPOL_003979-RA",77.0806689121424,82.0086958631351,85.3214910417857,85.0763893939427
"HPOL_004456-RA",125.707363578108,133.450291362962,121.841902626134,149.053294800629
"HPOL_001167-RA",37.6459982175809,34.5215671165813,35.5939982533723,29.6756905171252
"HPOL_001168-RA",56.6294529047757,55.6566823627241,70.9080051007526,48.5266776470756
"HPOL_001169-RA",16.2285263700527,18.0702599933823,13.8403726642421,14.3397273585584
"HPOL_001170-RA",113.997328404656,120.463134074905,94.7198315897864,107.924789931049
