"","Sporangia.r1","Sporangia.r2","Sporangia.r3","Zoospore.r1","Zoospore.r2","Zoospore.r3"
"HPOL_000524-RA",28.8100908117482,0,8.41733826657325,19.8410645706176,24.0487751416395,26.4872826778503
"HPOL_000525-RA",260,135,86,114,302,121
"HPOL_000526-RA",45,25,20,14,91,64
"HPOL_000527-RA",437,167,295,242,810,494
"HPOL_000528-RA",121.189909188252,72,69.5826617334267,74.1589354293824,177.95122485836,78.5127173221497
"HPOL_005220-RA",218,98,85,75,309,136
"HPOL_000529-RA",724,390,280,390,1309,641
"HPOL_005547-RA",246,125,123,96,319,267
"HPOL_002668-RA",4450,2185,2047,2808,7798,4130
"HPOL_002669-RA",349,105,127,120,373,99
"HPOL_002670-RA",1086,463,485,443,1806,1002
"HPOL_000642-RA",1668,606,619,1079,2888,1163
"HPOL_000643-RA",1145,588,597,472,1828,1006
"HPOL_000644-RA",1070,570,327.886539636602,719,2392.47270684826,575
"HPOL_000645-RA",486,257,170.113460363398,388,1108.52729315174,334
"HPOL_000646-RA",239,95,99,119,406,194
"HPOL_005221-RA",68,41,49,45,204,72
"HPOL_000647-RA",1095,534,386,438,1819,769
"HPOL_000648-RA",140,76,48,53,227,16
"HPOL_000649-RA",200,87,127,171,275,208
"HPOL_001151-RA",961,575,400,234,1057,144
"HPOL_001152-RA",678,313,316,364,1320,647
"HPOL_001153-RA",662,285,134,313,941,222
"HPOL_001154-RA",901,403.536931068231,249,348,1134,602
"HPOL_001155-RA",2275,1097,946,1172,3895,1103
"HPOL_001156-RA",178,71,75,112,278,295
"HPOL_001157-RA",3419,1955,903,1389,4908,614
"HPOL_005222-RA",36.5898137622091,10,18,2,34,37
"HPOL_001158-RA",742,349,292,195,832,395
"HPOL_001159-RA",645.178230515449,399.048181078323,390.889707710973,1001.74630341876,3043.00100163777,858.907765784356
"HPOL_001160-RA",426,157,142,163,509,476
"HPOL_001118-RA",5906,2811,2138,3362,11378,4982
"HPOL_001119-RA",248,119,74,99,421,143
"HPOL_001120-RA",27.0002851408735,12.5046158636632,37.1223308418824,3.4158338153509,62.454735491346,42.2042933852398
"HPOL_001121-RA",709,277,278,312,1246,673
"HPOL_001122-RA",21148.9997148591,9462.49538413634,13539.8776691581,8727.58416618465,25486.5452645087,18819.7957066148
"HPOL_005548-RA",7073,3732,3448,2304,9563,8343
"HPOL_003530-RA",479,192,167,286,730,543
"HPOL_004486-RA",316,65,58,94,269,66
"HPOL_003531-RA",458,209,299,316,1227,659
"HPOL_003532-RA",168,74,123,106,238,104
"HPOL_005549-RA",181,61,27,79,79,25
"HPOL_005550-RA",2914,1382,879,1320,4021,1436
"HPOL_005551-RA",138,77,57,134,301,23
"HPOL_004739-RA",3699,1869,2431,1592,5431,4923
"HPOL_004740-RA",2326,1033,1270,635,2360,4414
"HPOL_005552-RA",484,278,271,231,849,538
"HPOL_005553-RA",387,148,198,125,573,364
"HPOL_004631-RA",1161,589,478,503,1572,463
"HPOL_004487-RA",210,103,106,86,291,281
"HPOL_004632-RA",277,127,190,109,347,212
"HPOL_004633-RA",387,86,50,77,183,29
"HPOL_005554-RA",689,317,484,351,1499,1143
"HPOL_002679-RA",5236,2403,2488,2410,7475,3665
"HPOL_000530-RA",73,47,43,26,137,87
"HPOL_000531-RA",116,52,36,28,149,23
"HPOL_000532-RA",128,88,73,99,342,78
"HPOL_000533-RA",74,25,12,34,31,11
"HPOL_000534-RA",297,161,131,144,448,217
"HPOL_000535-RA",1243,560,562,488,1623,478
"HPOL_004488-RA",258,111,161,124,325,602
"HPOL_004345-RA",400,158,137,109,368,1030
"HPOL_004346-RA",140,41,133,47,147,167
"HPOL_004347-RA",2684.42788588243,1354.45371343529,1444.19543123331,2156.23307532324,6809.03549602771,3113.28545040472
"HPOL_005555-RA",324,141,193,131,487,465
"HPOL_005556-RA",43,24,20,11,72,47
"HPOL_005557-RA",15.3351907883171,7.54031488802532,0,7,11.4195766961448,0
"HPOL_005578-RA",3915,1747,1534,1449,5892,3078
"HPOL_003952-RA",1073,505,775,431,1478,1233
"HPOL_003953-RA",1600,399,252,383,1062,200
"HPOL_003954-RA",520,176,187,209,657,252
"HPOL_004489-RA",99,13,15,39,79,15
"HPOL_003955-RA",8920,4421,3574,4420,15820,9711
"HPOL_005558-RA",369,179,167,192,565,182
"HPOL_005559-RA",279.169695526958,104.756101061198,119.96437409092,152.096569719884,483.348431565449,259.10534936359
"HPOL_005560-RA",330,119,67,53,276,62
"HPOL_005561-RA",269,122,198,143,576,527
"HPOL_005562-RA",1145.98496195864,469,220,473,1192,842
"HPOL_005563-RA",352,94,60,109,233,14
"HPOL_005564-RA",2088,890,705,573,2193,1065
"HPOL_005565-RA",200,87,114,58,289,282
"HPOL_002680-RA",859,487,433,323,1307,1009
"HPOL_005223-RA",3147,1476,1467,1535,5014,2266
"HPOL_002681-RA",215,130,124,118,372,224
"HPOL_002682-RA",435,112,112,121,369,86
"HPOL_002683-RA",26212,11342,11422,8948,36752,24803
"HPOL_002684-RA",6435,3115,5057,2296,11035,11789
"HPOL_002685-RA",337,168,142,242,606,256
"HPOL_003245-RA",302,131,149,110,519,263
"HPOL_003246-RA",2790,1343,2063.57188576143,1512,5667.45343439915,3542
"HPOL_005566-RA",219,107,129,172,583,300
"HPOL_004683-RA",468,240,166,241,689,142
"HPOL_004684-RA",95,22,10,22,57,2
"HPOL_005224-RA",1280,535,504,402,1457,2727
"HPOL_005571-RA",1482,725,705,696,2866,1294
"HPOL_005569-RA",1800,944,1050,1047,3378,647
"HPOL_005570-RA",232,133,80,194,420,187
"HPOL_001084-RA",954,492,424,434,1522,991
"HPOL_001085-RA",531,291,265,233,864,168
"HPOL_001086-RA",440,224,211,190,615,269
"HPOL_001087-RA",510,247,246,284,895,510
"HPOL_001088-RA",883,368,472,346,1579,964
"HPOL_001089-RA",444,181,117,144,422,69
"HPOL_005572-RA",5,5,2,18,6,8
"HPOL_004065-RA",410,214,211,183,703,1314
"HPOL_005573-RA",188,96,77,175,572,234
"HPOL_005574-RA",1747,796,499,1569,5214,1801
"HPOL_001714-RA",60,17,23,15,72,5
"HPOL_001715-RA",113,40,11,28,64,0
"HPOL_001716-RA",444,141,58,86,297,48
"HPOL_004520-RA",256,135,123,155,449,388
"HPOL_004521-RA",897,367,233,340,1092,199
"HPOL_004763-RA",3103,1418,7158,2117,4136,2552
"HPOL_004764-RA",194,88,93,110,533,224
"HPOL_004765-RA",1642,752,585,675,1946,973
"HPOL_004066-RA",109,58,62,59,184,84
"HPOL_002694-RA",682,290,559,364,1268,950
"HPOL_002695-RA",437,220,241,207,837,431
"HPOL_002696-RA",315,184,218,155,509,259
"HPOL_004578-RA",5591,2674,2203,3795,9751,3087
"HPOL_004579-RA",130,77,74,71,191,41
"HPOL_004580-RA",330,156,147,169,672,264
"HPOL_005106-RA",5145,2567,2113,2043,7457,2560
"HPOL_005107-RA",88,42,49,64,174,99
"HPOL_005108-RA",154,57,37,46,137,673
"HPOL_005109-RA",193,91,79,38,197,62
"HPOL_004067-RA",343,177,193,153,796,353
"HPOL_005581-RA",874,232,283,214,721,225
"HPOL_005582-RA",224,57,16,92,98,32
"HPOL_005583-RA",348,163,87,181,577,121
"HPOL_003608-RA",854.366193108354,313.237227621712,360.77546737393,382.584614570599,1056.59092588286,432
"HPOL_003609-RA",26644,16702,1618,21050,90045,15942
"HPOL_005584-RA",47,24,35,10,60,27
"HPOL_005585-RA",1546,787,727,583,2189,2143
"HPOL_002302-RA",62.4996611545266,28.5597507541062,27.3536017226312,65.0844820935818,111.98001227389,168.140058238257
"HPOL_002303-RA",872,364,469,381,1103,1146
"HPOL_002304-RA",54.7398041230919,36,34,41,107,113.49389995408
"HPOL_004118-RA",718.990105562993,306.364717603627,263.480624895437,366.380617067683,1235.82132803908,415.053992353
"HPOL_002305-RA",43,17,37,16,83,58
"HPOL_002306-RA",449,221,205,223,861,414
"HPOL_000054-RA",1636,830,837,866,3220,1631
"HPOL_000055-RA",1604,765,919,656,2712,1820
"HPOL_000056-RA",394,179,258,114,725,499
"HPOL_000057-RA",110,46,30,27,185,62
"HPOL_000058-RA",3750,1789,1034,1466,4669,3407
"HPOL_000059-RA",1887,862,553,857,2812,1040
"HPOL_000060-RA",1438,764,558,885,2334,2439
"HPOL_000061-RA",7,7,13,12,40,43
"HPOL_004119-RA",2488.00989443701,1223.63528239637,1176.51937510456,1104.61938293232,4123.17867196092,2020.946007647
"HPOL_004725-RA",114,58.3945959124471,65,103,232,21
"HPOL_004726-RA",471.33089214751,240.155695924431,260.449065446327,278,1097,541
"HPOL_004535-RA",1386,553,1126,380,1202,721
"HPOL_004536-RA",1601,726,1078,735,2206,1605
"HPOL_002692-RA",225,117,167,89,485,224
"HPOL_002693-RA",1876,463,459,490,1209,309
"HPOL_003050-RA",345,156,130,134,514,194
"HPOL_003051-RA",127,55,81,42,229,106
"HPOL_003052-RA",1161,482,662,598,2060,1498
"HPOL_003053-RA",215,99,78,87,337,114
"HPOL_002017-RA",1658,856,1009,897,3032,2365
"HPOL_005586-RA",2048,972,902,872,3340,1575
"HPOL_005587-RA",319,140,146.998593639042,115,405,140.999992722599
"HPOL_005455-RA",40,13,6,13,23,9
"HPOL_005456-RA",1194,498,548,638,1596,572
"HPOL_001473-RA",2284,1078,1084,1337,3995,1330
"HPOL_001474-RA",307,81,100,163,234,73
"HPOL_001475-RA",493,277,198,207,880,427
"HPOL_001476-RA",95,25,33,30,181,104
"HPOL_002345-RA",211,107,118,107,375,127
"HPOL_002346-RA",1168,488,742,599,2544,1420
"HPOL_002018-RA",15,1,14,0,10,25
"HPOL_002347-RA",206,30,63,46,191,52
"HPOL_002348-RA",283,151,108,109,519,224
"HPOL_005588-RA",826,318,378,101,555,273
"HPOL_005589-RA",144,55,107,34,88,22
"HPOL_004718-RA",79,33,34,53,111,40
"HPOL_004719-RA",16,2,12,3,62,4
"HPOL_004720-RA",3321,1572,1077,1297,4795,2846
"HPOL_005590-RA",611,290,271,317,972,158
