"","Sporangia.r1","Sporangia.r2","Sporangia.r3","Zoospore.r1","Zoospore.r2","Zoospore.r3"
"HPOL_001566-RA",170,66,78,78,240,134
"HPOL_005474-RA",305,115,66,153,447,123
"HPOL_005471-RA",280,113,258,83,441,299
"HPOL_005472-RA",94,46,49,30,181,144
"HPOL_005473-RA",924,428,644,443,1463,993
"HPOL_004371-RA",903.080363636058,414,499.993420975041,372,1338,859.849786047921
"HPOL_004372-RA",744,229,224,280,638,171
"HPOL_000242-RA",247,149,114,128,487,241
"HPOL_000243-RA",4937,2338,1862,2094,6691,2537
"HPOL_000244-RA",414,164,148,174,575,263
"HPOL_003977-RA",32,22,19,80,119,54
"HPOL_000245-RA",478,135,138,135,390,173
"HPOL_000246-RA",149,56,40,25,106,35
"HPOL_000247-RA",1356.71073003815,568.895018523711,739.927570329421,664.277410126508,2182.50045673957,1147.39550562616
"HPOL_000248-RA",46,14,40,8,50,36
"HPOL_000249-RA",334,159,148,165,490,209
"HPOL_000250-RA",516,256,317,412,1166,515
"HPOL_000251-RA",0,0,0,0,0,0
"HPOL_001178-RA",132,29,14,56,76,18
"HPOL_001179-RA",705,386,304,252,1026,687
"HPOL_001180-RA",731,326,357,257,951,483
"HPOL_003978-RA",263,139,269,127,503,548
"HPOL_005475-RA",71,24,20,7,90,35
"HPOL_005476-RA",579,372,264,483,1880,577
"HPOL_005477-RA",5700,2532,2259,3566,10707,7027
"HPOL_005478-RA",2843,1257,1212,1374,4137.55535372854,6147
"HPOL_002624-RA",198,69,19,41,152,18
"HPOL_002625-RA",728,515,81,335,1706,531
"HPOL_002626-RA",99,45,46,35,203,51
"HPOL_002627-RA",3801,1639,1763,2429,6659,4894
"HPOL_002628-RA",79,60,186,55,190,82
"HPOL_004455-RA",1078,467,374,410,1222,356
"HPOL_003979-RA",2689,1317,1616,1457,5124,2697
"HPOL_004456-RA",4137,1996,2447,1945,8370,7247
"HPOL_001167-RA",953,401,586,445,1291,1043
"HPOL_001168-RA",437,199,280,269,629,479
"HPOL_001169-RA",632,324,354,264,961,488
"HPOL_001170-RA",1396,676,336,566,2235,576
"HPOL_001171-RA",3679,1583,1459,2239,7362,2542
"HPOL_005479-RA",143,73,79,77,303,81
"HPOL_005480-RA",75,35,30,75,113,43
"HPOL_005484-RA",191,67,33,35,280,132
"HPOL_005485-RA",92.5778343618058,32,7,72,125.401415281949,39
"HPOL_003130-RA",142,60,66,75,272,129
"HPOL_005486-RA",121,72,87,112,343,149
"HPOL_005487-RA",130,55,68,51,211,85
"HPOL_004806-RA",271,63,38,68,219,83
"HPOL_004807-RA",53,12,20,7,27,23
"HPOL_004808-RA",34,7,0,6,24,1
"HPOL_001401-RA",14,8,8,0,34,19
"HPOL_001402-RA",144,83,140,68,297,269
"HPOL_001403-RA",252,111,119,138,378,152
"HPOL_001404-RA",542,270,267,161,564,466
"HPOL_004493-RA",262,135,172,157,552,322
"HPOL_003131-RA",434,203,426,218,859,788
"HPOL_004494-RA",375,174,270,139,642,445
"HPOL_002629-RA",474,193,170,275,762,392
"HPOL_002630-RA",255,105,156,124,426,428
"HPOL_002631-RA",30,9,37,27,47,385
"HPOL_002632-RA",1865,1012,689,1388,3948,698
"HPOL_002633-RA",666,323,361,573,1512,926
"HPOL_002634-RA",1535,730,610,798,2176,1662
"HPOL_004417-RA",2045,810,1068,799,2253,1273
"HPOL_004418-RA",1040,485,406,724,1467,220
"HPOL_004419-RA",150,92,11,774,2235,65
"HPOL_003132-RA",196,90,98,143,393,142
"HPOL_004420-RA",110,32,22,59,120,26
"HPOL_005488-RA",728.525112052113,370.855701056309,314.317014498479,314.30717998257,1035.40767053116,535.927404908987
"HPOL_005489-RA",1969,801,941,1241,3518,1655
"HPOL_005490-RA",69,12,19,11,44,21
"HPOL_004427-RA",899,356,283,336,775,2035
"HPOL_004428-RA",335,102,103,57,255,704
"HPOL_004429-RA",147,81,65,63,188,42
"HPOL_004430-RA",878,436,321,518,1153,343
"HPOL_005491-RA",444,193,163,163,646,179
"HPOL_005492-RA",1741,851,1071,1627,5231,1081
"HPOL_003133-RA",5512,3193,1454,2912,6055,1552
"HPOL_005497-RA",212,112,115,64,308,84
"HPOL_005498-RA",582,264,308,208,990,551
"HPOL_005499-RA",145,64,104,160,523,227
"HPOL_004214-RA",4399,2147,1728,1611,6100,2643
"HPOL_004215-RA",770,459,280,292,532,380
"HPOL_004094-RA",432,136,349,146,812,1025
"HPOL_004095-RA",317,155,137,198,498,151.602670068639
"HPOL_004096-RA",240,140,144,172,383,77
"HPOL_004097-RA",219,91,56,106,281,173
"HPOL_004441-RA",459.58277088314,220,291.345689165797,221,768.737640952755,281.869200085098
"HPOL_003905-RA",440,265,220,177,629,239
"HPOL_004442-RA",380,249,240,241,657,119
"HPOL_004499-RA",1263,601,701,475,2002,817
"HPOL_004599-RA",303,74,23,30,166,24
"HPOL_004600-RA",1139,557,469,687,2057,627
"HPOL_004601-RA",3574,1696,1661,2502,8026,3099
"HPOL_002635-RA",2793,790,721,762,2166,577
"HPOL_002636-RA",35,7,5,11,20,0
"HPOL_001804-RA",197,84,40,95,234,37
"HPOL_001805-RA",113,74,75,157,454,91
"HPOL_001806-RA",155,68,66,112,435,230
"HPOL_003906-RA",207,105,118,78,275,430
"HPOL_001161-RA",2326,1245,1047,963,2872,1227
"HPOL_001162-RA",65,21,43,32,80,22
"HPOL_001163-RA",337,172,194,213,582,98
"HPOL_001164-RA",214,98,97,126,249,125
"HPOL_001165-RA",1603,824,813,615,2510,1255
"HPOL_001166-RA",1037,432,333,601,1821,969
"HPOL_005495-RA",144,46,275,33,238,91
"HPOL_005496-RA",1731,828,963,954,3219,2038
"HPOL_005500-RA",188,85,113,96,401,209
"HPOL_005501-RA",381,163,175,156,548,284
"HPOL_003907-RA",73,23,30,24,113,151
"HPOL_001745-RA",560,260,210,217,728,366
"HPOL_001350-RA",1791,985,693,1077,3851,1042
"HPOL_001351-RA",218.992325269422,61.5905659263161,102.064746423028,80.7567319966224,339.553089078222,166.217872829715
"HPOL_001352-RA",257,131,242,107,382,687
"HPOL_001353-RA",76777,32948,31476,37518,171987,76693
"HPOL_005504-RA",1428,780,501,641,2278,1184
"HPOL_005507-RA",218,54,101,101,196,168
"HPOL_001172-RA",171,67,90,94,302,195
"HPOL_001173-RA",1375,563,684,403,1609,636
"HPOL_001174-RA",148,56,77,88,265,95
"HPOL_004281-RA",66,26,43,25,62,14
"HPOL_001175-RA",389,180,310,192,525,399
"HPOL_001176-RA",1033,406,333,287,1233,488
"HPOL_001177-RA",214,104,121,115,321,121
"HPOL_004703-RA",941,426,463,446,1556,895
"HPOL_004704-RA",3915,2407,2295,2110,9505,9987
"HPOL_004705-RA",1805,752,420,845,2805,925
"HPOL_001373-RA",31.356808025765,9,8,10,21,2
"HPOL_001374-RA",446,148,140,141,415,164
"HPOL_001375-RA",708,287,688,534,682,3528
"HPOL_001376-RA",1216.91754023613,594,613,616,1599.96670915898,974
"HPOL_004282-RA",253,119,104,102,558,112
"HPOL_001377-RA",72.0824597638715,25,15,8,36.0332908410215,9
"HPOL_001378-RA",13,3,1,0,13,0
"HPOL_001379-RA",1195,492,883,206,671,642
"HPOL_002637-RA",2394,968,1245,1642,4417,1835
"HPOL_002638-RA",2398,1278,832,1478,3136,519
"HPOL_002639-RA",201,114,83,107,317,167
"HPOL_002640-RA",1550,739,533,427,1848,781
"HPOL_002641-RA",331,156,411,193,644,703
"HPOL_005511-RA",285,94,148,81,433,257
"HPOL_005512-RA",3391,1303,3903,1872,4501,3484
"HPOL_004283-RA",393,174,212,189,578,351
"HPOL_005508-RA",2004,1010,828,683,2866,1139
"HPOL_005509-RA",126,38,39,38,176,88
"HPOL_005510-RA",554,284,235,367,1048,1120
"HPOL_005533-RA",169,64,78,12,198,93
"HPOL_005534-RA",227,50,57,71,179,56
"HPOL_001629-RA",782,370,276,335,1076,357
"HPOL_001630-RA",336,161,159,249,923,88
"HPOL_001631-RA",828,211,101,204,460,116
"HPOL_001632-RA",505.76455197782,208.280426273915,152.336839365606,151.910505634237,599.009401286161,211.608688504215
"HPOL_001633-RA",216,69,129,107,257,275
"HPOL_004284-RA",70,33,41,14,123,32
"HPOL_001634-RA",494,272,213,310,1052,501
"HPOL_001635-RA",93,32,50,34,85,29
"HPOL_001636-RA",48,1,8,0,14,0
"HPOL_005520-RA",6391.91669100836,3118.85208592036,973.81783270246,2915.20360654468,9275.07824431573,2879.55866769886
"HPOL_005515-RA",630,264,289,556,1558,642
"HPOL_003167-RA",352,162,191,107,530,282
"HPOL_003168-RA",533,292,249,230,863,590
"HPOL_005513-RA",621,289,279,347,1196,739
"HPOL_005514-RA",386,139,139,168,468,668
"HPOL_005526-RA",548,238,292,319,957,379
"HPOL_004285-RA",129,50,57,82,242,93
"HPOL_005527-RA",364,149,192,139,512,354
"HPOL_001244-RA",678,304,287,363,1316,449
"HPOL_001245-RA",1230,636,569,621,1720,349
"HPOL_001246-RA",301,113,66,104,311,60
"HPOL_001247-RA",1794,558,599,662,1533,631
"HPOL_001248-RA",962,528,401,408,1403,434
"HPOL_002642-RA",143,60,204,44,189,872
"HPOL_002643-RA",460,215,234,219,610,660
"HPOL_002644-RA",3072,1396,1840,967,4358,2587
"HPOL_005516-RA",1005,450,727,476,1534,1501
"HPOL_004286-RA",128,67,65,80,265,107
"HPOL_005517-RA",131,53,26,34,122,31
"HPOL_001598-RA",801,365,310,268,1212,533
"HPOL_001599-RA",3484,1702,1586,1375,5354,2662
"HPOL_000044-RA",1740.94827535679,763.198723607181,426.580331081166,966.049729095918,3407.58090192269,1413.93675020312
"HPOL_000045-RA",475,241,201,655,2080,793
"HPOL_000046-RA",137,66,41,90,148,37
"HPOL_000047-RA",1251.05172464321,671.801276392819,512.419668918834,525.893164053617,1916.34923468714,900.063249796879
"HPOL_000048-RA",194,63,52,58.0571068504653,185.069863390178,62
"HPOL_000049-RA",73,44,51,56,121,119
"HPOL_000050-RA",383,110,128,107,298,58
"HPOL_005213-RA",926,463,330,472,1320,607
"HPOL_000051-RA",101,29,67,28,151,59
"HPOL_000052-RA",326,103,56,69,256,31
"HPOL_000053-RA",250,63,50,36,184,50
"HPOL_001063-RA",2038.01030515168,641.934808446413,444.440718167958,528.751147989619,1374.54049444511,348.633987113432
"HPOL_001064-RA",636,268,251,157,626,349
"HPOL_001065-RA",482,232,169,165,716,269
"HPOL_001066-RA",445.509530094414,241.900574284985,219.430811275707,143.37210024726,627.273797462049,423.359318375286
"HPOL_001067-RA",1389.98969484832,419.065191553587,339.559281832042,450.248852010381,992.459505554889,292.366012886568
"HPOL_001068-RA",475,115,73,65,265,55
"HPOL_001069-RA",435,204,205,220,566,334
"HPOL_005214-RA",1885,939,978,729,2499,1801
"HPOL_001070-RA",735,341,445,268,1289,688
"HPOL_001071-RA",281.490469905586,169.099425715015,111.569188724293,162.62789975274,437.726202537951,295.640681624714
"HPOL_004644-RA",241,121,93,145,434,195
"HPOL_004645-RA",87,52,52,78,231,264
"HPOL_004646-RA",46,49,11,88,256,22
"HPOL_001241-RA",120,86,79,57,188,201
"HPOL_001242-RA",369,185,232,169,488,288
"HPOL_001243-RA",703,416,325,393,1163,219
"HPOL_004468-RA",2279,1094,847,1253,4567,1551
"HPOL_004469-RA",894,332,496,401,1172,528
"HPOL_004123-RA",21,15,16,0,31,19
"HPOL_004470-RA",843,350,426,344,1354,962
"HPOL_004471-RA",192,100,90,90,350,225
"HPOL_001329-RA",259,98,141,186,416,172
"HPOL_001330-RA",212.967420416065,86.5980479650653,108.616973807676,80,290.074433183548,109.542712985793
"HPOL_001331-RA",569.747772559382,209.819220946443,175.058444091333,228.100485097113,676.662956376331,162.984381570066
"HPOL_001332-RA",284,117,95,88,346,223
"HPOL_001333-RA",375,173,154,141,534,237
"HPOL_004472-RA",58,15,5,30,24,4
"HPOL_004473-RA",190,95,81,84,254,146
"HPOL_004474-RA",2440,1147,1074,910,3237,1812
"HPOL_004124-RA",478,187,261,176,854,598
"HPOL_004475-RA",263,126,111,203,536,233
"HPOL_004723-RA",340,166,104,85,376,213
"HPOL_004724-RA",133,37,60,86,388,254
"HPOL_002656-RA",127,74,90,96,310,137
"HPOL_002657-RA",296,135,165,235,587,356
"HPOL_002658-RA",3477,1729,1713,932,4255,2620
"HPOL_002659-RA",1985,1002,988,878,3593,1208
"HPOL_005521-RA",168,95,11,195,533,10
"HPOL_005522-RA",107,20,8,21,65,4
"HPOL_005523-RA",429,142,227,12,18,0
"HPOL_005215-RA",1142,608,909,519,2138,1590
"HPOL_003006-RA",2438,1114,1129,1306,3740,2207
"HPOL_003007-RA",2191,1244,1009,1519,3602,1353
"HPOL_003008-RA",403,180,218,93,513,109
"HPOL_003009-RA",1326,571,426,673,2180,576
"HPOL_003010-RA",1692,734,511,629,2584,768
"HPOL_005524-RA",764,274,260,316,805,173
"HPOL_001477-RA",434,275,157,118,733,198
"HPOL_001478-RA",553.616751733832,272.329799462798,183.027813281033,245.065878793266,801.206554777069,277.125977372494
"HPOL_001479-RA",155,51,32,28,83,29
"HPOL_001480-RA",802,407,288,325,980,309
"HPOL_005216-RA",2163,1385,1025,1839,6357,1701
"HPOL_004937-RA",5287,2551,2429,2821,9641,8353
"HPOL_004938-RA",974,443,466,471,1534,979
"HPOL_005525-RA",69,25,25,23.5,121,56.5
"HPOL_005528-RA",119,46,33,54,187,55
"HPOL_005529-RA",467,169,164,136,429,129
"HPOL_005530-RA",955,426,554,313,1257,566
"HPOL_005531-RA",298,157,189,179,446,212
"HPOL_005532-RA",668,303,313,349,820,428
"HPOL_005538-RA",1882,1033,988,590,2429,2247
"HPOL_005539-RA",1743,865,581,413,2150,873
"HPOL_002444-RA",54,10,29,19,100,43
"HPOL_005540-RA",659.021919264684,328.001852349272,254.636588085144,171.368201321809,934.64595221268,414.661117580497
"HPOL_002660-RA",623,236,322,252,1171,1277
"HPOL_002661-RA",523,323,398,199,945,513
"HPOL_002662-RA",1397.98098823716,716.059396741202,776.331310625031,583.366132874614,2212.76381632683,1346.84496279783
"HPOL_002663-RA",3316.94599908089,1570.53065932496,1183.16184512132,1442.09291855298,5857.68215114342,6887.82199991293
"HPOL_004843-RA",162,40,33,88,209,23
"HPOL_004844-RA",163,43,46,64,123,63
"HPOL_004845-RA",9,4,6,5,9,32
"HPOL_004540-RA",71,30,8,53,104,9
"HPOL_004541-RA",125,40,16,36,77,4
"HPOL_002445-RA",453,137,179,185,428,119
"HPOL_005546-RA",1229,552,468,451,1751,1196
"HPOL_005535-RA",309,123,164,76,462,265
"HPOL_005536-RA",672,289,227,120,709,315
"HPOL_005537-RA",182,52,30,78,118,62
"HPOL_005541-RA",3624,1704,2139,1584,5919,3659
"HPOL_005542-RA",546,234,215,216,739,311
"HPOL_000322-RA",324,166,222,150,588,496
"HPOL_000323-RA",82,44,47,19,188,98
"HPOL_000324-RA",232,71,52,43,153,27
"HPOL_000325-RA",2476,1207,712,1076,4031,1002
"HPOL_004266-RA",2159,1071,800,989,3549,1200
"HPOL_000326-RA",720.489659406756,344.895188411796,443.058441948496,356.630123262726,1204.2694531605,866.998355213978
"HPOL_000327-RA",30,12,7,12,43,7
"HPOL_000328-RA",494,219,263,164,782,513
"HPOL_001056-RA",210,112,101,151,399,174
"HPOL_001057-RA",306,144,157,183,515,342
"HPOL_001058-RA",499,226,179,173,796,379
"HPOL_001059-RA",321,166,145,131,387,146
"HPOL_001060-RA",3170,1345,1251,2009,5646,2793
"HPOL_001061-RA",1080,649,388,450,1733,550
"HPOL_001062-RA",559,281,175,270,621,134
"HPOL_004267-RA",1319,714,473,600,2386,659
"HPOL_005543-RA",80,30,48,51,134,69
"HPOL_004695-RA",299,118,230,164,538,318
"HPOL_004696-RA",1209,481,615,806,2718,1301
"HPOL_004697-RA",2140,1132,2064,1308,4044,4786
"HPOL_002671-RA",860,386,113,316,1393.8683587536,832.457290678461
"HPOL_002672-RA",0,0,4,0,5.13164124639777,30.5427093215388
"HPOL_002673-RA",673,391,384,395,1137,654
"HPOL_002674-RA",281,167,120,110,547,195
"HPOL_005544-RA",416,173,309,194,631,279
"HPOL_003112-RA",542,145,90,104,284,86
"HPOL_004268-RA",988,534,384,832,1921,357
"HPOL_003113-RA",349,162,153,93,473,459
"HPOL_003114-RA",2499,1181,1474,1177,4205,2582
"HPOL_001560-RA",233,43,31,15,103,16
"HPOL_001561-RA",206,82,114,65,293,248
"HPOL_001562-RA",31.5238555981489,33.0352892165889,10.5682131661418,0.00977206848539458,63.5517956716815,11.7427585513497
"HPOL_001563-RA",2163.64238353998,1106.07039718777,965.34878729671,1217.46766152233,3656.19313519502,2212.6115949545
"HPOL_004877-RA",52,14,7,0,26,0
"HPOL_004878-RA",203,98,123,75,396,252
"HPOL_004879-RA",21,3,1,10,16,10
"HPOL_003108-RA",23,8,11,7,32,25
"HPOL_005197-RA",528,175,207,166,501,189
"HPOL_003109-RA",379,194,249,207,776,579
"HPOL_003110-RA",740,266,364,333,933,1417
"HPOL_003111-RA",2237,1038,1048,1143,3905,2740
"HPOL_001760-RA",451,132,191,147,582,160
"HPOL_001761-RA",2785,1216,1057,1138,3567,2479
"HPOL_001762-RA",36,10,12,6,16,1
"HPOL_001763-RA",90,33,23,16,73,18
"HPOL_001764-RA",427,194,179,103,544,312
"HPOL_001765-RA",162,66,48,145,271,51
"HPOL_001766-RA",4459,2213,1698,2085,6850,2429
"HPOL_005219-RA",339,136,114,70,408,79
"HPOL_005545-RA",356,199,116,202,570,43
"HPOL_000520-RA",48,15,3,10,42,0
"HPOL_000521-RA",3218,1329,1867,983,4356,5959
"HPOL_000522-RA",2386,1040,1018,1179,3731,2961
"HPOL_000523-RA",78,56,45,41,142,175
