target_id	length	eff_length	est_counts	tpm
Batde5_90620	192	34.5898	1749	12117.3
Batde5_32093	539	320.181	0	0
Batde5_90618	708	453.429	0	0
Batde5_26416	1536	1327.98	5.12189	0.924276
Batde5_26417	1626	1370.7	0	0
Batde5_90615	591	338.167	0	0
Batde5_90622	402	163.896	0	0
Batde5_26419	867	611.832	0	0
Batde5_90614	507	257.663	69.5037	64.6425
Batde5_90624	927	671.727	0	0
Batde5_90625	1437	1181.7	0	0
Batde5_26423	1056	730.717	0	0
Batde5_90626	174	29.3799	0	0
Batde5_30403	435	191.952	0	0
Batde5_90611	906	568.833	2	0.842574
Batde5_26425	1434	1178.7	0	0
Batde5_26426	1581	1368.2	4.55532	0.79787
Batde5_90629	837	581.912	0	0
Batde5_90609	642	388.168	0	0
Batde5_90608	2160	1694.81	3.61854	0.511653
Batde5_90630	1041	785.704	0	0
Batde5_35614	1012	644.54	35.1201	13.0578
Batde5_90352	886	583.162	1013	416.278
Batde5_17297	1253	1042.53	712	163.665
Batde5_13095	900	660.905	79	28.6452
Batde5_20268	1508	1221.07	428	83.9977
Batde5_26434	3432	2990.18	339	27.1685
Batde5_26435	5658	4789.31	32	1.60118
Batde5_90632	1101	774.109	41	12.6924
Batde5_13059	327	105.701	279	632.538
Batde5_90356	1393	1013.4	22	5.2024
Batde5_26439	1332	904.587	50	13.2459
Batde5_35617	4094	3594.31	174	11.601
Batde5_90358	2964	2613.54	33	3.02586
Batde5_26442	2373	2006.59	101	12.0622
Batde5_90635	627	335.818	80	57.0885
Batde5_33502	1195	994.109	524	126.317
Batde5_26445	5493	5256.13	512	23.3436
Batde5_12887	1341	1065.26	221	49.7164
Batde5_26447	804	532.319	177	79.6827
Batde5_12883	792	565.949	117	49.5418
Batde5_26449	1002	741.033	44	14.2291
Batde5_35620	2762	2544.43	276	25.9945
Batde5_35621	1461	1232.34	479	93.147
Batde5_90367	1622	1344.72	535	95.3424
Batde5_90637	1899	1531.95	87	13.6093
Batde5_30413	732	495.696	375	181.292
Batde5_90369	797	491.516	155	75.5713
Batde5_26456	873	595.13	36	14.4962
Batde5_26457	891	551.588	7	3.04121
Batde5_4962	693	409.973	20	11.6906
Batde5_37224	762	535.304	123	55.064
Batde5_12872	1209	894.025	296	79.3424
Batde5_90372	3111	2600.09	86	7.92634
Batde5_37225	1421	1194.74	504	101.093
Batde5_90374	1083	795.635	96	28.9148
Batde5_90604	2481	2043.65	322	37.7584
Batde5_90641	228	47.9169	34	170.041
Batde5_26464	1122	731.623	40	13.102
Batde5_20287	1549	1281.38	330	61.716
Batde5_90377	1445	998.682	13	3.11946
Batde5_90642	681	447.484	18	9.63958
Batde5_90643	861	501.591	8	3.82211
Batde5_90644	2256	1716.47	9	1.25652
Batde5_90645	423	181.491	39	51.496
Batde5_90603	318	99.3908	10	24.1111
Batde5_90378	3270	2923.71	215	17.6225
Batde5_90646	1062	873.744	78	21.3931
Batde5_26474	867	507.371	1	0.472321
Batde5_26475	1866	1555.45	236	36.3596
Batde5_35627	2834	2457	724	70.6148
Batde5_90380	435	191.952	259	323.348
Batde5_90648	330	107.791	191	424.634
Batde5_90381	1051	798.673	19	5.70095
Batde5_90649	2049	1669.81	164	23.5364
Batde5_20290	963	673.063	762	271.308
Batde5_20293	918	584.615	2257	925.177
Batde5_37227	759	470.997	62582	31841.6
Batde5_33508	1181	883.306	1377	373.582
Batde5_26482	2010	1575.5	131	19.9258
Batde5_90384	2227	1914.21	1089	136.333
Batde5_90385	1323	991.213	218	52.7051
Batde5_90600	1452	1113.43	3	0.645685
Batde5_37231	1125	788.072	51	15.5084
Batde5_90652	477	229.551	43	44.8902
Batde5_13102	738	519.76	165	76.0753
Batde5_90387	958	640.478	28	10.4765
Batde5_90388	1632	1396.1	920	157.919
Batde5_20298	3510	3093.3	230	17.8184
Batde5_35636	2804	2487.28	1182	113.882
Batde5_26489	753	488.491	8	3.92461
Batde5_26490	1131	801.842	5	1.49432
Batde5_26491	1413	1108.98	5.15652	1.11429
Batde5_90391	731	484.71	171.318	84.7002
Batde5_26493	1557	1361.7	201	35.3734
Batde5_90599	219	44.1229	10	54.3124
Batde5_26494	2007	1601.17	17	2.54434
Batde5_33514	1174	908.162	69	18.2074
Batde5_90598	1512	1085.13	22	4.85853
Batde5_26497	1323	905.715	9	2.3813
Batde5_26498	1311	963.117	25	6.22048
Batde5_90595	1278	966.873	8	1.98282
Batde5_90594	1725	1340.94	12	2.14454
Batde5_90593	1884	1708.91	23	3.22531
Batde5_26501	1482	1277.48	8	1.50071
Batde5_17332	2824	2553.51	4522	424.382
Batde5_90395	738	442.678	355	192.178
Batde5_37237	884	626.244	1182	452.311
Batde5_35641	7015	6482.06	872	32.2379
Batde5_5146	519	265.476	31	27.9833
Batde5_90659	1482	1188.92	22	4.4344
Batde5_90660	1374	1075.49	5	1.11411
Batde5_6608	396	158.946	40	60.3078
Batde5_37238	950	652.013	311	114.306
Batde5_35643	2201	1836.94	185	24.1346
Batde5_26512	2190	1826.75	160	20.9896
Batde5_90401	1820	1393.58	27	4.64295
Batde5_90402	1719	1319.1	42	7.63015
Batde5_90662	915	693.731	12	4.14527
Batde5_90590	513	263.363	39	35.4873
Batde5_90589	237	51.8321	12	55.4812
Batde5_90588	1152	820.933	17	4.96254
Batde5_26515	1266	1039.1	80	18.4499
Batde5_90587	795	632.754	27	10.2257
Batde5_17340	4192	3970.15	730	44.0635
Batde5_90586	321	101.475	25	59.0396
Batde5_90664	465	218.66	34	37.2626
Batde5_20311	755	492.241	925	450.326
Batde5_26518	4854	4441.48	970	52.3368
Batde5_13116	348	120.949	7	13.8694
Batde5_90405	1378	1009.97	274	65.0137
Batde5_4610	417	176.405	7	9.50934
Batde5_26520	1386	1097.03	330	72.0874
Batde5_33521	702	448.577	139	74.2575
Batde5_26522	666	394.984	124	75.2324
Batde5_37243	1189	908.185	550	145.128
Batde5_90410	1340	1079.7	151	33.5149
Batde5_90581	762	528.245	84	38.1072
Batde5_90412	1249	936.851	92	23.5332
Batde5_35649	4242	3751.63	543	34.6851
Batde5_26528	618	327.095	53	38.8298
Batde5_12868	474	226.762	227	239.894
Batde5_13027	993	746.48	154	49.4386
Batde5_26531	1044	747.436	6.46324	2.07224
Batde5_20316	932	659.699	91	33.0566
Batde5_90668	519	291.906	925	759.385
Batde5_26534	1482	1318.09	165	29.9987
Batde5_37245	1192	886.135	56	15.1444
Batde5_35652	3026	2534.24	106	10.0236
Batde5_37246	1537	1231.28	106	20.6306
Batde5_26538	471	224.024	34434.2	36834.9
Batde5_33524	1120	849.77	64558.4	18206
Batde5_90422	1251	934.136	198	50.7947
Batde5_37247	1421	1173.95	424	86.5527
Batde5_90669	2226	1854.11	252	32.5708
Batde5_26543	2136	1739.84	53	7.30011
Batde5_90578	819	519.725	1	0.461094
Batde5_90670	429	186.639	5	6.41992
Batde5_32126	623	339.12	10	7.06658
Batde5_13160	1035	714.924	30.2079	10.1257
Batde5_26545	846	590.892	0	0
Batde5_90577	1416	1026.78	0	0
Batde5_90672	321	101.475	186	439.255
Batde5_7508	285	77.9699	22	67.6175
Batde5_6774	357	127.599	11	20.6589
Batde5_13134	1332	1032.6	196	45.4872
Batde5_20327	962	650.298	1032	380.304
Batde5_90576	396	158.946	57	85.9386
Batde5_35661	1797	1365.39	244	42.8248
Batde5_90427	1068	768.503	91	28.3765
Batde5_26554	2097	1854.26	125	16.1548
Batde5_90674	2064	1765.04	75	10.1829
Batde5_20329	1242	1012.79	2826	668.673
Batde5_90574	3552	2889.73	61	5.05867
Batde5_90430	3111	2758.24	546	47.4378
Batde5_26559	1536	1155.03	34	7.0542
Batde5_90431	2016	1897.79	597	75.3858
Batde5_26561	1824	1394.81	14	2.40534
Batde5_26562	687	438.064	107	58.5341
Batde5_90433	5604	5114.77	382	17.8978
Batde5_90434	615	391.484	276	168.95
Batde5_7338	240	53.2917	8	35.9744
Batde5_26566	318	99.3908	17	40.9889
Batde5_12866	678	408.874	54	31.6495
Batde5_35667	1869	1584.46	43	6.50356
Batde5_13136	864	528.2	18	8.16652
Batde5_37251	1223	889.24	81	21.8288
Batde5_35669	1897	1525.1	261	41.0113
Batde5_35670	1431	1146.79	52	10.8663
Batde5_37252	873	641.206	548	204.808
Batde5_26574	843	575.67	14	5.82797
Batde5_13009	912	641.882	63	23.5206
Batde5_26576	318	99.3908	8	19.2889
Batde5_90569	6333	5690.54	132	5.55884
Batde5_12991	1461	1156.09	40	8.29148
Batde5_26579	1881	1571.14	242	36.9118
Batde5_20338	863	569.385	103	43.3505
Batde5_26581	438	194.569	34	41.8763
Batde5_37254	651	402.664	293	174.377
Batde5_12882	966	647.138	131	48.5107
Batde5_90568	1257	1045.92	57	13.0599
Batde5_26584	3018	2606.81	130	11.9508
Batde5_37255	728	467.752	30	15.3698
Batde5_35676	2001	1587.48	94	14.19
Batde5_35677	2761	2421.9	885	87.5691
Batde5_26588	2349	1913.09	251	31.4413
Batde5_90678	264	65.7705	27	98.3775
Batde5_4457	546	283.669	107	90.3929
Batde5_90566	1620	1238.26	100	19.3531
Batde5_90451	1567	1274.91	185	34.7739
Batde5_26592	513	263.363	61	55.5057
Batde5_90680	189	33.6592	56	398.701
Batde5_90565	903	590.293	86	34.9136
Batde5_90452	1040	709.721	79	26.6749
Batde5_90453	2010	1672.62	99	14.1841
